"run_stamp","tool","view_name","view_mode","processing_scope","write_mode","parameter_target_mode","worksharing_mode","element_id","category","family","type","level","system","name","target_parameter","requested_value","actual_before","actual_after","outcome","reason","target_scope","target_kind","target_param_id","target_definition_name","target_storage","target_is_read_only","candidate_count","selected_target_count","asset_score","asset_type_code","derived_asset_id","asset_id_rule","asset_id_reason","asset_type","asset_category","linked_room_source","linked_room_link","linked_room_number","linked_room_name","linked_room_department","linked_room_subdepartment","linked_room_building","linked_room_site","resolved_department","resolved_subdepartment","resolved_building","resolved_site","derived_wbs00","derived_wbs01","derived_wbs03","derived_wbs05","derived_wbs_code"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012456","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_WBS00","WBH","","","SKIP","readonly","","","","NWB_WBS00","","","1","0","36","MAGS","MAGS-HO-10-15012456","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","connected:d2:14672596:Air Terminals","NWB-ACD-WBH-MH-MOD-0001","IPG.09.329","Medication Room, 20m2","Inpatient Gynaecology","","","","Inpatient Gynaecology","","","","WBH","HO","IPG","SI5","WBH-HO-10-IPG-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012456","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_WBS01","HO","","","SKIP","readonly","","","","NWB_WBS01","","","1","0","36","MAGS","MAGS-HO-10-15012456","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","connected:d2:14672596:Air Terminals","NWB-ACD-WBH-MH-MOD-0001","IPG.09.329","Medication Room, 20m2","Inpatient Gynaecology","","","","Inpatient Gynaecology","","","","WBH","HO","IPG","SI5","WBH-HO-10-IPG-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012456","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_WBS02","10","10","10","SKIP","already-matches","instance","Shared Parameter","9214786","NWB_WBS02","String","False","1","1","36","MAGS","MAGS-HO-10-15012456","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","connected:d2:14672596:Air Terminals","NWB-ACD-WBH-MH-MOD-0001","IPG.09.329","Medication Room, 20m2","Inpatient Gynaecology","","","","Inpatient Gynaecology","","","","WBH","HO","IPG","SI5","WBH-HO-10-IPG-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012456","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_WBS04","ME","","","SKIP","readonly","","","","NWB_WBS04","","","1","0","36","MAGS","MAGS-HO-10-15012456","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","connected:d2:14672596:Air Terminals","NWB-ACD-WBH-MH-MOD-0001","IPG.09.329","Medication Room, 20m2","Inpatient Gynaecology","","","","Inpatient Gynaecology","","","","WBH","HO","IPG","SI5","WBH-HO-10-IPG-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012456","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_WBS05","SI5","","","SKIP","readonly","","","","NWB_WBS05","","","1","0","36","MAGS","MAGS-HO-10-15012456","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","connected:d2:14672596:Air Terminals","NWB-ACD-WBH-MH-MOD-0001","IPG.09.329","Medication Room, 20m2","Inpatient Gynaecology","","","","Inpatient Gynaecology","","","","WBH","HO","IPG","SI5","WBH-HO-10-IPG-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012474","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_AssetTypeCode","MAGS","MAGS","MAGS","SKIP","already-matches","instance","Shared Parameter","7626182","NWB_AssetTypeCode","String","False","1","1","36","MAGS","MAGS-HO-10-15012474","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.189","1 Bed Room, Obstetric - Class N","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012474","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_AssetType","Air Grilles","Air Grilles","Air Grilles","SKIP","already-matches","instance","Shared Parameter","7626181","NWB_AssetType","String","False","1","1","36","MAGS","MAGS-HO-10-15012474","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.189","1 Bed Room, Obstetric - Class N","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012474","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_Category","Air Terminal","Air Terminal","Air Terminal","SKIP","already-matches","instance","Shared Parameter","7626160","NWB_Category","String","False","1","1","36","MAGS","MAGS-HO-10-15012474","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.189","1 Bed Room, Obstetric - Class N","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012474","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_SubDepartment","","","","SKIP","linked/direct room subdepartment unavailable (self)","","","","NWB_SubDepartment","","","","","36","MAGS","MAGS-HO-10-15012474","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.189","1 Bed Room, Obstetric - Class N","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012474","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_Material","","","","SKIP","workbook material blank and model material missing","","","","NWB_Material","","","","","36","MAGS","MAGS-HO-10-15012474","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.189","1 Bed Room, Obstetric - Class N","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012474","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_System","Return Air","Return Air","Return Air","SKIP","already-matches","instance","Shared Parameter","7626163","NWB_System","String","False","1","1","36","MAGS","MAGS-HO-10-15012474","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.189","1 Bed Room, Obstetric - Class N","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012474","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_UniclassCode","Pr_70_65_04_03","Pr_70_65_04_03","Pr_70_65_04_03","SKIP","already-matches","instance","Shared Parameter","7626165","NWB_UniclassCode","String","False","1","1","36","MAGS","MAGS-HO-10-15012474","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.189","1 Bed Room, Obstetric - Class N","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012474","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_UniclassDescription","Air grilles","Air grilles","Air grilles","SKIP","already-matches","instance","Shared Parameter","7626166","NWB_UniclassDescription","String","False","1","1","36","MAGS","MAGS-HO-10-15012474","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.189","1 Bed Room, Obstetric - Class N","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012474","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_DesignPkg","NWB-GEN-ME-SCM-1091-A","NWB-GEN-ME-SCM-1091-A","NWB-GEN-ME-SCM-1091-A","SKIP","already-matches","instance","Shared Parameter","7626167","NWB_DesignPkg","String","False","1","1","36","MAGS","MAGS-HO-10-15012474","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.189","1 Bed Room, Obstetric - Class N","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012474","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_BuildingPermitPkg","WBH - BP09","","","SKIP","missing","","","","NWB_BuildingPermitPkg","","","0","0","36","MAGS","MAGS-HO-10-15012474","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.189","1 Bed Room, Obstetric - Class N","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012474","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_WBS00","WBH","","","SKIP","readonly","","","","NWB_WBS00","","","1","0","36","MAGS","MAGS-HO-10-15012474","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.189","1 Bed Room, Obstetric - Class N","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012474","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_WBS01","HO","","","SKIP","readonly","","","","NWB_WBS01","","","1","0","36","MAGS","MAGS-HO-10-15012474","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.189","1 Bed Room, Obstetric - Class N","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012474","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_WBS02","10","10","10","SKIP","already-matches","instance","Shared Parameter","9214786","NWB_WBS02","String","False","1","1","36","MAGS","MAGS-HO-10-15012474","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.189","1 Bed Room, Obstetric - Class N","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012474","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_WBS04","ME","","","SKIP","readonly","","","","NWB_WBS04","","","1","0","36","MAGS","MAGS-HO-10-15012474","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.189","1 Bed Room, Obstetric - Class N","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012474","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 10","Return Air","Damper","NWB_WBS05","SI5","","","SKIP","readonly","","","","NWB_WBS05","","","1","0","36","MAGS","MAGS-HO-10-15012474","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.189","1 Bed Room, Obstetric - Class N","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012790","Air Terminals","MHT_AT_S Air Diff Swirl_JD","","LEVEL 10","Supply Air","Damper","NWB_AssetTypeCode","MAGS","MAGS","MAGS","SKIP","already-matches","instance","Shared Parameter","7626182","NWB_AssetTypeCode","String","False","1","1","36","MAGS","MAGS-HO-10-15012790","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.190","Anteroom","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012790","Air Terminals","MHT_AT_S Air Diff Swirl_JD","","LEVEL 10","Supply Air","Damper","NWB_AssetType","Air Grilles","Air Grilles","Air Grilles","SKIP","already-matches","instance","Shared Parameter","7626181","NWB_AssetType","String","False","1","1","36","MAGS","MAGS-HO-10-15012790","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.190","Anteroom","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012790","Air Terminals","MHT_AT_S Air Diff Swirl_JD","","LEVEL 10","Supply Air","Damper","NWB_Category","Air Terminal","Air Terminal","Air Terminal","SKIP","already-matches","instance","Shared Parameter","7626160","NWB_Category","String","False","1","1","36","MAGS","MAGS-HO-10-15012790","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.190","Anteroom","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012790","Air Terminals","MHT_AT_S Air Diff Swirl_JD","","LEVEL 10","Supply Air","Damper","NWB_SubDepartment","","","","SKIP","linked/direct room subdepartment unavailable (self)","","","","NWB_SubDepartment","","","","","36","MAGS","MAGS-HO-10-15012790","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.190","Anteroom","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012790","Air Terminals","MHT_AT_S Air Diff Swirl_JD","","LEVEL 10","Supply Air","Damper","NWB_Material","","","","SKIP","workbook material blank and model material missing","","","","NWB_Material","","","","","36","MAGS","MAGS-HO-10-15012790","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.190","Anteroom","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012790","Air Terminals","MHT_AT_S Air Diff Swirl_JD","","LEVEL 10","Supply Air","Damper","NWB_System","Supply Air","Supply Air","Supply Air","SKIP","already-matches","instance","Shared Parameter","7626163","NWB_System","String","False","1","1","36","MAGS","MAGS-HO-10-15012790","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.190","Anteroom","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012790","Air Terminals","MHT_AT_S Air Diff Swirl_JD","","LEVEL 10","Supply Air","Damper","NWB_UniclassCode","Pr_70_65_04_03","Pr_70_65_04_03","Pr_70_65_04_03","SKIP","already-matches","instance","Shared Parameter","7626165","NWB_UniclassCode","String","False","1","1","36","MAGS","MAGS-HO-10-15012790","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.190","Anteroom","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15012790","Air Terminals","MHT_AT_S Air Diff Swirl_JD","","LEVEL 10","Supply Air","Damper","NWB_UniclassDescription","Air grilles","Air grilles","Air grilles","SKIP","already-matches","instance","Shared Parameter","7626166","NWB_UniclassDescription","String","False","1","1","36","MAGS","MAGS-HO-10-15012790","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP2.10.190","Anteroom","Inpatient Obstetric 2","","","","Inpatient Obstetric 2","","","","WBH","HO","IP2","SI5","WBH-HO-10-IP2-ME-SI5"
