"run_stamp","tool","view_name","view_mode","processing_scope","write_mode","parameter_target_mode","worksharing_mode","element_id","category","family","type","level","system","name","target_parameter","requested_value","actual_before","actual_after","outcome","reason","target_scope","target_kind","target_param_id","target_definition_name","target_storage","target_is_read_only","candidate_count","selected_target_count","asset_score","asset_type_code","derived_asset_id","asset_id_rule","asset_id_reason","asset_type","asset_category","linked_room_source","linked_room_link","linked_room_number","linked_room_name","linked_room_department","linked_room_subdepartment","linked_room_building","linked_room_site","resolved_department","resolved_subdepartment","resolved_building","resolved_site","derived_wbs00","derived_wbs01","derived_wbs03","derived_wbs05","derived_wbs_code"
"20260817_030552","NWB_PARAMETERS AutoFill","{3D - Gino.MorenoHVPST}","model","selection","smart","Both","skip-other-users","17012924","Mechanical Equipment","Vertical Discharge Cowls","","LEVEL 06","Power,Exhaust Air","RVS100","NWB_AssetTypeCode","MHPU","MHPU","MHPU","SKIP","already-matches","instance","Shared Parameter","7626182","NWB_AssetTypeCode","String","False","1","1","36","MHPU","MHPU-HO-06-17012924","template","generated from AssetTypeCode-Building-Level-ElementID","Heat Pump Unit","Equipment","connected-miss:d4:visited10","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260817_030552","NWB_PARAMETERS AutoFill","{3D - Gino.MorenoHVPST}","model","selection","smart","Both","skip-other-users","17012924","Mechanical Equipment","Vertical Discharge Cowls","","LEVEL 06","Power,Exhaust Air","RVS100","NWB_AssetID","MHPU-HO-06-17012924","MHPU-HO-06-17012924","MHPU-HO-06-17012924","SKIP","already-matches","instance","Shared Parameter","7626164","NWB_AssetID","String","False","1","1","36","MHPU","MHPU-HO-06-17012924","template","generated from AssetTypeCode-Building-Level-ElementID","Heat Pump Unit","Equipment","connected-miss:d4:visited10","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260817_030552","NWB_PARAMETERS AutoFill","{3D - Gino.MorenoHVPST}","model","selection","smart","Both","skip-other-users","17012924","Mechanical Equipment","Vertical Discharge Cowls","","LEVEL 06","Power,Exhaust Air","RVS100","NWB_AssetType","Heat Pump Unit","Heat Pump Unit","Heat Pump Unit","SKIP","already-matches","instance","Shared Parameter","7626181","NWB_AssetType","String","False","1","1","36","MHPU","MHPU-HO-06-17012924","template","generated from AssetTypeCode-Building-Level-ElementID","Heat Pump Unit","Equipment","connected-miss:d4:visited10","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260817_030552","NWB_PARAMETERS AutoFill","{3D - Gino.MorenoHVPST}","model","selection","smart","Both","skip-other-users","17012924","Mechanical Equipment","Vertical Discharge Cowls","","LEVEL 06","Power,Exhaust Air","RVS100","NWB_Discipline","ME","ME","ME","SKIP","already-matches","instance","Shared Parameter","7626159","NWB_Discipline","String","False","1","1","36","MHPU","MHPU-HO-06-17012924","template","generated from AssetTypeCode-Building-Level-ElementID","Heat Pump Unit","Equipment","connected-miss:d4:visited10","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260817_030552","NWB_PARAMETERS AutoFill","{3D - Gino.MorenoHVPST}","model","selection","smart","Both","skip-other-users","17012924","Mechanical Equipment","Vertical Discharge Cowls","","LEVEL 06","Power,Exhaust Air","RVS100","NWB_Category","Equipment","Equipment","Equipment","SKIP","already-matches","instance","Shared Parameter","7626160","NWB_Category","String","False","1","1","36","MHPU","MHPU-HO-06-17012924","template","generated from AssetTypeCode-Building-Level-ElementID","Heat Pump Unit","Equipment","connected-miss:d4:visited10","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260817_030552","NWB_PARAMETERS AutoFill","{3D - Gino.MorenoHVPST}","model","selection","smart","Both","skip-other-users","17012924","Mechanical Equipment","Vertical Discharge Cowls","","LEVEL 06","Power,Exhaust Air","RVS100","NWB_Department","","","","SKIP","linked/direct room department unavailable (connected-miss:d4:visited10)","","","","NWB_Department","","","","","36","MHPU","MHPU-HO-06-17012924","template","generated from AssetTypeCode-Building-Level-ElementID","Heat Pump Unit","Equipment","connected-miss:d4:visited10","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260817_030552","NWB_PARAMETERS AutoFill","{3D - Gino.MorenoHVPST}","model","selection","smart","Both","skip-other-users","17012924","Mechanical Equipment","Vertical Discharge Cowls","","LEVEL 06","Power,Exhaust Air","RVS100","NWB_SubDepartment","","","","SKIP","linked/direct room subdepartment unavailable (connected-miss:d4:visited10)","","","","NWB_SubDepartment","","","","","36","MHPU","MHPU-HO-06-17012924","template","generated from AssetTypeCode-Building-Level-ElementID","Heat Pump Unit","Equipment","connected-miss:d4:visited10","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260817_030552","NWB_PARAMETERS AutoFill","{3D - Gino.MorenoHVPST}","model","selection","smart","Both","skip-other-users","17012924","Mechanical Equipment","Vertical Discharge Cowls","","LEVEL 06","Power,Exhaust Air","RVS100","NWB_Material","","","","SKIP","workbook material blank and model material missing","","","","NWB_Material","","","","","36","MHPU","MHPU-HO-06-17012924","template","generated from AssetTypeCode-Building-Level-ElementID","Heat Pump Unit","Equipment","connected-miss:d4:visited10","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260817_030552","NWB_PARAMETERS AutoFill","{3D - Gino.MorenoHVPST}","model","selection","smart","Both","skip-other-users","17012924","Mechanical Equipment","Vertical Discharge Cowls","","LEVEL 06","Power,Exhaust Air","RVS100","NWB_System","Power,Exhaust Air","Power,Exhaust Air","Power,Exhaust Air","SKIP","already-matches","instance","Shared Parameter","7626163","NWB_System","String","False","1","1","36","MHPU","MHPU-HO-06-17012924","template","generated from AssetTypeCode-Building-Level-ElementID","Heat Pump Unit","Equipment","connected-miss:d4:visited10","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260817_030552","NWB_PARAMETERS AutoFill","{3D - Gino.MorenoHVPST}","model","selection","smart","Both","skip-other-users","17012924","Mechanical Equipment","Vertical Discharge Cowls","","LEVEL 06","Power,Exhaust Air","RVS100","NWB_UniclassCode","Pr_70_60_37","Pr_70_60_37","Pr_70_60_37","SKIP","already-matches","instance","Shared Parameter","7626165","NWB_UniclassCode","String","False","1","1","36","MHPU","MHPU-HO-06-17012924","template","generated from AssetTypeCode-Building-Level-ElementID","Heat Pump Unit","Equipment","connected-miss:d4:visited10","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
