"run_stamp","tool","view_name","view_mode","processing_scope","write_mode","parameter_target_mode","worksharing_mode","element_id","category","family","type","level","system","name","target_parameter","requested_value","actual_before","actual_after","outcome","reason","target_scope","target_kind","target_param_id","target_definition_name","target_storage","target_is_read_only","candidate_count","selected_target_count","asset_score","asset_type_code","derived_asset_id","asset_id_rule","asset_id_reason","asset_type","asset_category","linked_room_source","linked_room_link","linked_room_number","linked_room_name","linked_room_department","linked_room_subdepartment","linked_room_building","linked_room_site","resolved_department","resolved_subdepartment","resolved_building","resolved_site","derived_wbs00","derived_wbs01","derived_wbs03","derived_wbs05","derived_wbs_code"
"20260814_033920","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","view","smart","SharedOnly","skip-other-users","2955390","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_AssetTypeCode","MDUC","MDUC","MDUC","SKIP","already-matches","instance","Shared Parameter","7626182","NWB_AssetTypeCode","String","False","1","1","45","MDUC","MDUC-HO-09-2955390","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-ACD-WBH-MH-MOD-0001","ENG.07.R10","Mechanical Riser, M10","Engineering","","","","Engineering","05","PPT.07.190","","WBH","HO","ENG","SI5","WBH-HO-09-ENG-ME-SI5"
"20260814_033920","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","view","smart","SharedOnly","skip-other-users","2955390","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_AssetID","MDUC-HO-09-2955390","MDUC-HO-09-2955390","MDUC-HO-09-2955390","SKIP","already-matches","instance","Shared Parameter","7626164","NWB_AssetID","String","False","1","1","45","MDUC","MDUC-HO-09-2955390","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-ACD-WBH-MH-MOD-0001","ENG.07.R10","Mechanical Riser, M10","Engineering","","","","Engineering","05","PPT.07.190","","WBH","HO","ENG","SI5","WBH-HO-09-ENG-ME-SI5"
"20260814_033920","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","view","smart","SharedOnly","skip-other-users","2955390","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_AssetType","Ductwork","Ductwork","Ductwork","SKIP","already-matches","instance","Shared Parameter","7626181","NWB_AssetType","String","False","1","1","45","MDUC","MDUC-HO-09-2955390","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-ACD-WBH-MH-MOD-0001","ENG.07.R10","Mechanical Riser, M10","Engineering","","","","Engineering","05","PPT.07.190","","WBH","HO","ENG","SI5","WBH-HO-09-ENG-ME-SI5"
"20260814_033920","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","view","smart","SharedOnly","skip-other-users","2955390","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_Discipline","ME","ME","ME","SKIP","already-matches","instance","Shared Parameter","7626159","NWB_Discipline","String","False","1","1","45","MDUC","MDUC-HO-09-2955390","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-ACD-WBH-MH-MOD-0001","ENG.07.R10","Mechanical Riser, M10","Engineering","","","","Engineering","05","PPT.07.190","","WBH","HO","ENG","SI5","WBH-HO-09-ENG-ME-SI5"
"20260814_033920","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","view","smart","SharedOnly","skip-other-users","2955390","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_Category","Ductwork","Ductwork","Ductwork","SKIP","already-matches","instance","Shared Parameter","7626160","NWB_Category","String","False","1","1","45","MDUC","MDUC-HO-09-2955390","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-ACD-WBH-MH-MOD-0001","ENG.07.R10","Mechanical Riser, M10","Engineering","","","","Engineering","05","PPT.07.190","","WBH","HO","ENG","SI5","WBH-HO-09-ENG-ME-SI5"
"20260814_033920","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","view","smart","SharedOnly","skip-other-users","2955390","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_Department","Engineering","Engineering","Engineering","SKIP","already-matches","instance","Shared Parameter","7626168","NWB_Department","String","False","1","1","45","MDUC","MDUC-HO-09-2955390","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-ACD-WBH-MH-MOD-0001","ENG.07.R10","Mechanical Riser, M10","Engineering","","","","Engineering","05","PPT.07.190","","WBH","HO","ENG","SI5","WBH-HO-09-ENG-ME-SI5"
"20260814_033920","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","view","smart","SharedOnly","skip-other-users","2955390","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_SubDepartment","05","05","05","SKIP","already-matches","instance","Shared Parameter","7626178","NWB_SubDepartment","String","False","1","1","45","MDUC","MDUC-HO-09-2955390","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-ACD-WBH-MH-MOD-0001","ENG.07.R10","Mechanical Riser, M10","Engineering","","","","Engineering","05","PPT.07.190","","WBH","HO","ENG","SI5","WBH-HO-09-ENG-ME-SI5"
"20260814_033920","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","view","smart","SharedOnly","skip-other-users","2955390","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_Material","","","","SKIP","workbook material blank and model material missing","","","","NWB_Material","","","","","45","MDUC","MDUC-HO-09-2955390","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-ACD-WBH-MH-MOD-0001","ENG.07.R10","Mechanical Riser, M10","Engineering","","","","Engineering","05","PPT.07.190","","WBH","HO","ENG","SI5","WBH-HO-09-ENG-ME-SI5"
"20260814_033920","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","view","smart","SharedOnly","skip-other-users","2955390","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_System","Exhaust Air","Exhaust Air","Exhaust Air","SKIP","already-matches","instance","Shared Parameter","7626163","NWB_System","String","False","1","1","45","MDUC","MDUC-HO-09-2955390","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-ACD-WBH-MH-MOD-0001","ENG.07.R10","Mechanical Riser, M10","Engineering","","","","Engineering","05","PPT.07.190","","WBH","HO","ENG","SI5","WBH-HO-09-ENG-ME-SI5"
"20260814_033920","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","view","smart","SharedOnly","skip-other-users","2955390","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_UniclassCode","Pr_65_65_25","Pr_65_65_25","Pr_65_65_25","SKIP","already-matches","instance","Shared Parameter","7626165","NWB_UniclassCode","String","False","1","1","45","MDUC","MDUC-HO-09-2955390","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-ACD-WBH-MH-MOD-0001","ENG.07.R10","Mechanical Riser, M10","Engineering","","","","Engineering","05","PPT.07.190","","WBH","HO","ENG","SI5","WBH-HO-09-ENG-ME-SI5"
